id,question,answer
988,How many council seats are there in Gloucester?,39
989,What is the former Roman Catholic Diocese in southern France known as?,The Bishopric of Lodève
990,At what street is the Hotel Ritz Carlton located?,35th Street
991,What was used to build the masts for the transmitter?,zinc
992,What was the name of the movie project in the Soviet Union during the 1980s?,Parallel Cinema
993,What is the name of the butterfly found in Japan?,Arhopala japonica
994,When was the list of National Register properties and districts created?,"March 5, 2021"
995,How often is the SCT's Journal of the Society for Clinical Trials published?,six times a year
996,Who hosted the Webby Awards ceremony?,Patton Oswalt
997,Where is the centre for Asian Studies located?,Dublin
998,What is the name of the proposed railroad in Wisconsin?,The Great Lakes Basin Railroad
999,Where is the AM station located?,"Brenham, Texas"
1000,How many consecutive elections has she been elected as a member of the parliament?,second woman
1001,When did the band begin to form?,July 1967
1002,What is the main way the beetles feed on?,pollen and nectar
1003,What was the population of the district in 1990?,2510
1004,What is the biggest port in Andhra Pradesh?,Visakhapatnam
1005,How many people lived in the CDP at the 2010 census?,2372
1006,What company commissioned the music from LCD Soundsystem?,Nike
1007,How long ago did the Euphorbia evolve?,549 million years ago
1008,What are some factors that made systems developers tend to be more proactive in their attempts to solve security problems?,"Computer systems of the U.S. Army, were able to be temporarily hijacked"
1009,When was the Beidou-2 IGSO1 launched?,31 July 2010
1010,When was Cake's fourth studio album released?,"July 24, 2001"
1011,What was the nationality of Harry Nicholas Pritzker?,American
1012,How many species of Poa does Tasmania contain?,16
1013,What is the name of the legislative district in Detroit?,37th House of Representatives
1014,What is the main term for municipalities in Italy that are associated with local communities?,"""town twinning"""
1015,What is the name of the ship that was a patrol boat and launched in 1935?,Aberdonia
1016,How many people were there in 2010?,631
1017,What was the name of Mellish owned by the EIC?,Chicheley Plowden
1018,How many properties are on the National Register of Historic Places?,106
1019,Who was the drummer for The Stray Gators?,Ben Keith
1020,What does the Australian Army Band Corps stand for?,The Band of the Royal Military College
1021,What city hosted the 1994 Pan American Race Walking Cup?,Atlanta
1022,What was the name of the dock company that was based in Aarhus?,Aarhus Flydedok
1023,Where is the Aga Khanwek Department located?,in the historic center of the city
1024,What is the name of John Lennon's album that features images from his solo career?,The John Lennon Collection
1025,What was the name of the second Queen album?,The Way It Was
1026,What is the largest city in the Philippines with over 23 million people within the customs zone?,Manila
1027,How many times did Carol Bartha win the boxing title?,2
1028,Who did the group meet in the future world?,Mason
1029,What was the name of DJ BoBo's compilation that he released in 2006?,Greatest Hits
1030,What company designed the game Bushbuck Charms?,Reckon
1031,What is the scientific name for the plant that grows like a purple orchid?,Tragopogon porrifolius
1032,What is the name of the record label founded in Greece?,Green Cookie Records
1033,"In 1707, the boroughs of what  county were elected commissions to represent them in the unicameral Parliament of Scotland?",Perth
1034,Which character was originally cast as Donna Summer?,Ben Whishaw
1035,Why is the wandering small-eared shrew extirpated?,overexploitation by humans
1036,What model is used to measure the economic impacts of farmers' markets?,IMPLAN Input-Output Model
1037,What church was Dominican between 1656 and 1680?,"Dominican Church of the Holy Spirit, Vilnius"
1038,Which Van Halen album was released in 1980?,Van Halen III
1039,"What artist produced the song ""I Am a God""?",Kanye West
1040,What was the name of the MP elected at Athlone?,Daniel Henry Farrell
1041,How many entries are in the list?,2067
1042,What is the NGC 7640?,barred spiral galaxy in the constellation of Andromeda
1043,How many times was MacDonald a national champion?,4
1044,How many prison time was Carneglia given for racketeering?,50 years
1045,What was the name of the newly created body that controlled the distribution of gas?,the Gas Council
1046,What area of England is Wellow located in?,Somerset
1047,What Bam village is known as one of the most profitable in the country?,Ipala
1048,How many years did he spend with VfB Stuttgart?,two seasons
1049,"Who wrote the song ""Latin Moon""?","Adam Alexander, Ryan Kowarsky, Daniel Kowarsky"
1050,What are the galesh also called?,khussa or charoq
1051,In what city does Jennifer Lopez live?,Washington
1052,What is the main man-made cause of salinization?,irrigation
1053,When was Mrs. Curwen born?,1845
1054,What does the EuroCityExpress Platform connect Mechelen to?,the city's southern terminus of the EuroCity Line 1
1055,When was the list of National Register properties created?,"February 26, 2021"
1056,What is the preferred environment for the Terek nase?,fast-flowing waters in the foothill and mountain ranges
1057,What is the officially named planet discovered by Gamma Tauri? ,Prima Hyadum
1058,How many districts are in Peru?,14
1059,"Which photographer founded the body of work ""Juvenile in Justice""?",Richard Ross
1060,"When was the album ""Bananer"" released?",1980
1061,What type of power station is the Itumbiara Dam?,hydroelectric power plant
1062,Who hosted the 2015 Billboard Music Awards ceremony?,Ludacris and Chrissy Teigen
1063,What is the common name for the badenflower family?,Lycaenidae
1064,What is the name of the first archbishop?,Ezekiel Kondo
1065,What is the liparis bracteata usually known as?,the yellow sphinx orchid
1066,When was the Men's 100m T38 held?,September 12
1067,Where is the headquarters for the Rosati's Authentic Chicago Pizza?,"Elgin, Illinois"
1068,What is the wingspan of a moth?,10.5–11.5 cm
1069,When was HMS Argyll laid down?,March 1987
1070,How many species of rhacophorids were found recently?,8
1071,What photographer is based in New York?,Esther Levine
1072,What is the home field of Tranmere Rovers F.C.?,Home Park
1073,What is the name of the archaeological site in Barranquitas?,Palo Hincado Site
1074,"Which ship was the only Royal Navy ship to bear the name of Prince Philip, Duke of Edinburgh?",HMS Magpie
1075,On what channel was the American version of Secret Lives aired?,CNBC
1076,What is a blanket layer of fluid material covering the entire haze called?,hazmat
1077,How long did Martin Wyllie McIntosh spend at the highest level of football?,over 500 appearances
1078,It is listed as a species of what subtype?,rodent
1079,What does the name Bessey possibly derive from?,Cousin Mount
1080,Where did Palmer's father work as a factory worker?,Friogrill in Trondheim
1081,What is the tallest building in Orlando?,The Vue at Lake Eola
1082,How many representatives will the legislature of the province of Southern Leyte have?,2
1083,What was the name of the company that was founded by Atsushi Onita?,Frontier Martial-Arts Wrestling
1084,Who was elected Mayor of San Diego in 1900?,William H. Carlson
1085,Where does the traditional Turkish archery originate?,the Eurasian Steppe
1086,What was the name of the first railway station in Japan?,Inukawa Station
1087,What is a manufacturing process for tires?,Retread
1088,Who did the men's team drop to at the 2019 Pan American Games?,Facundo Andreasen
1089,What year was Queen's third album released?,1993
1090,What are named after Ferdinand Georg Frobenius?,Frobenius matrices
1091,What is a semifinal table topic?,instances of axioms from different levels of theory
1092,When did Pierce & Metcalfe describe the wingspan of Haplotinea ditella?,1938
1093,Who is the director of the film?,Ploning helmer Dante Nico Garcia
1094,How many first class matches did Kevin Commins play?,29
1095,What was the name of the project that aired in the UK and New Zealand?,Sky
1096,Who wrote the screenplay for 'Gunpowder Milkshake'?,Papushado
1097,What is an example of an electric aircraft?,B-47 Chinook
1098,What are the Gopa caste systematically divided into?,"sub-division like Krishnaut, Majhraut, Sadgop"
1099,How many matches did bowen play in?,1
1100,Who is a member of the Orange Democratic Movement?,Alfred Khang'ati
1101,Who wrote The Different Turf?,Jon Cleary
1102,The CWT owns and manages what?,43 nature reserves
1103,What are permissions typically declared in?,an application's manifest
1104,What Buddhist monastery is located in the village of Tengboche?,Tengboche Monastery
1105,Who was the first woman to climb Mont Blanc?,Emily Quihampton
1106,What was the name of the Chinese astronomer?,Chen Zhuo
1107,The numbered expressways start from where?,north or east
1108,What level of evidence is required for the use of fluorometry in hypoxia?,the level of CTLA-4
1109,How many children did Carmen Julia Álvarez have?,2
1110,What was the profession of Reinhard Bortfeld?,geophysicist
1111,Where is the Michael Ochs Archive located?,Los Angeles
1112,"What was the name of the group that released the single ""Bring Me Your Love""?",Deee-Lite
1113,The western coast of India is part of which tropical cyclone region?,the Arabian Sea
1114,When did Otto II die?,1502
1115,Who was the speaker for the assembly?,Charles Clarke
1116,How many times was McLellan the winner of the Boston Marathon?,5
1117,How many Tests did Robin Nicholas Stuart Hobbs play from 1967 to 1971?,7
1118,In what place does the Szombathelyi Haladas rank in the league table?,61st
1119,What was the name of the campaign that introduced Malaysia to the rest of the world?,"Malaysia, Truly Asia"
1120,How long was David Alan Heyes in office?,2001–2015
1121,When did Celine Dion release her twelfth album?,2019
1122,Where were the 1999 IBF World Championships held?,"Copenhagen, Denmark"
1123,The Consolidated Natural Resources Act is a resource for what?,preservation and enforcement of Native American petroleum and natural gas resources
1124,What is the name of the river that marks the border between the West Branch and the East Branch?,The Memorial River
1125,How many first class matches did Grant play?,12
1126,What is the largest settlement in Slovakia?,Olban
1127,What's the name of the policy that the university uses?,Access to Medicine
1128,How many inhabitants are there in the village?,1099
1129,What newspaper did Aftab Ahmed write for?,The Daily Ittefaq
1130,Who is Randa Kassis?,Syrian politician
1131,Who returned to the field and kicked a touchdown in game three of the first round of the playoffs?,Rick Sutcliffe
1132,Who is David Pegler?,mycologist
1133,What was the name of the song they released in 2008?,Nadha
1134,What was the name of Queen's first full album?,Queen II
1135,What mountain range does the Sierra Madre de Oaxaca extend into?,states of Puebla and Veracruz
1136,Which ship was named after an Edgar class of steam ships?,HMS Endymion
1137,Who is the famous female pageant winner of 2015?,Sharma
1138,What was the nationality of inventor Edward Craven Walker?,British
1139,When do the larvae hatch?,from January to August
1140,What was the name of the head coach at Western Michigan University in 1982?,Jack Harbaugh
1141,What did Rob Holliday play?,guitar
1142,In what film did Mandell play Rabbi Marshak?,Serious Man
1143,In what field is a single smart sensor used?,machine vision
1144,Where was the Battle of Avay?,Paraguay
1145,What lake is in the area of Hyannis?,Wequaquet Lake
1146,When was NGC 1022 discovered?,"September 10, 1785"
1147,Who was the architect of the Chiesa di San Nicolò da Tolentino?,Mario Formenti
1148,What is the name of the standard markup language used for documents designed to be displayed in a web browser?,Hypertext Markup Language
1149,What school is located in Redlands?,Redlands High School
1150,How many records did Rose collect in South Africa?,2
1151,What is the population of the territory that makes up the comarcation of Girona and Catalonia?,177
1152,How many people work in the U.S. at the casino?,1.7 million
1153,Where are the AATCS specifications published?,the Association of American Railroads
1154,What type of plant is the phytophthora pluvialis?,semi-papillate plant pathogen
1155,How many books has Nick Chiles been published as a journalist?,15
1156,What was the only country to defeat them in medal table?,Russian
1157,"What does ""Lord of Karma"" name refer to?",text adventure that was produced by Avalon Hill in 1980
1158,What position was Whitaker appointed to by the church?,executive minister
1159,What is another key catalyst for the growing electric car conversion market?,price
1160,What was the nickname of Richard Virgil Dean Steinheimer?,Ansel Adams of railroad photography
1161,What is the longest spanning bridge in the world?,The Pratt Flyover
1162,When did the Vorvaň-Labeled first release?,When we Used to Play / Work your Body
1163,"What does the specific epithet ""murrayana"" derive from?",Malay
1164,What is the name of the publication that is published by Sage Publications?,The Proceedings of the Institution of Mechanical Engineers
1165,What is the name of the newspaper currently published in Soledad?,The Soledad Bee
1166,How much was Takashi's contract worth?,$155 million
1167,Which islands were grouped as the Gymnesiae?,Majorca and Minorca
1168,What was Pierre Wajoka's birth date?,19 December 1978
1169,In what country is Bale located?,Uganda
1170,Which famous horse racing icon died in 1951?,Fred A. Smith
1171,When was Garnet Crow's tenth album released?,"March 20, 2013"
1172,When was Brian Daniels born?,"October 31, 1984"
1173,What is the hillock called that is at the foot of the city of Belgaum called?,Yellurgad
1174,What animal does anisodactylus feed on?,algae and small vertebrates
1175,What short film was produced and released by Studio Ghibli in 1995?,Ghibli Experimental Theater On Your Mark
1176,Who was the leader of the British invasion of Cuba?,Admiral Edward Vernon
1177,In what city was the Hybrid Tourer debuted?,Paris
1178,How long was the military junta in power?,three years
1179,What was the concept of the Ngāti Porou and Te Whānau-ā-Apanui iwi?,the higher uplands were connected to the lowest ground areas
1180,What is the process of pollination given?,embryo developing into a callus
1181,What gene encodes the protein that in humans is encoded by the ARIH1 gene?,Protein ariadne-1
1182,What is the official language of Sami?,Southern Sami
1183,What was the purpose of the Route nationale 16?,to connect the capital with the rest of France
1184,What is the name of the journal published by IOP Publishing?,The Journal of Optics
1185,What was the 1987 NCAA Division III football season?,part of the college football season organized by the NCAA at the Division III level in the United States
1186,What district is Kevin Hertel a member of?,18th
1187,What is the name of the largest island in France?,Corsica
1188,Tamba delicata is a what?,noctuoid moth
1189,"What is the name of the fourth album by German, electro-industrial/aggrotech band?",Rot
1190,What position did Rose hold at Johns Hopkins University?,professor of American History
1191,What is the main difference between a short-term and long-term investment fund?,The short-term investment fund (STIF) is a type of investment fund which invests in money market investments of high quality and low risk
1192,What position in the government does Sarah Schlitz hold?,"Secretary of State for Gender equality, Equal opportunity and Diversity in the cabinet"
1193,What is the name of the largest unions in Punjab?,BMBKS
1194,What does the Sebasticook Lake Fishweir Complex reconstruct?,structure of prehistoric fishing weir structures
1195,What is the population of the arrondissement of Autun?,"131,392 (2016)"
1196,What is the name of the station closest to the city center?,San Donato
1197,What movie did Sadaf Foroughi and Kiarash Anvari create?,"Féminin, masculin"
1198,What will constriction of the right eye be caused by?,"If an individual's right eye is shielded and light shines into the left eye, constriction of the right pupil will occur"
1199,What is the standard length of a Brycinus jacksonii?,15.5 centimetres (49.0 in)
1200,What is the only member of the Nemertea?,Nacella magellanica
1201,What does the name Antheuil derive from?,Iron Age
1202,What does the DOP include?,"Aragon, Valencia, Murcia, Cartagena, Seville, Girona, Almería, Valencia and Murcia"
1203,What is the common name of the Chinese brake?,Pteris vittata
1204,In what county is Melksham located?,Wiltshire
1205,What kind of weevil is the Cryptorhynchus?,hidden snout weevils
1206,What is the name of the carriage in India used by the drivers of the bandy?,bandy
1207,When did Wang Gang write a sequel to Kashgar?,2012
1208,When was the Creator Ci20 released?,August 2014
1209,What is the main feature of ankylosing spondylitis?,involvement of the axial skeleton
1210,What was the first computer built in the world to be able to process a printable document in the Parrot program?,Teletype Model 33000
1211,Which Swiss painter active in the Mannerist style?,Simone Carretta
1212,Which river flows through Schlangenbach? ,The Unstrut river
1213,Who was elected Governor of New Jersey in 1853?,Rodman M. Price
1214,What does the specific epithet Dubia refer to?,red
1215,What is the scientific name for the populations of lepidus and curvirostra?,Eritrichthys lepidus
1216,Who may wear different insignia in different countries?,priests and judicial personnel
1217,What is the largest river in the Czech Republic?,Bрынка
1218,When was The Disney Afternoon Collection released?,"April 18, 2017"
1219,Who was the executive producer of Fear the Walking Dead?,Michael E. Satrazemis
1220,What was the name of the band that released Jealousy?,X Japan
1221,What department does Messerschmitt's research focus on?,interstellar communications
1222,When is the name Fulgencio formally adopted?,1890
1223,In what country is Quebec located?,Canada
1224,How many subtropical moth species does the Erebidae have?,as many as 300
1225,How many career games has Foster umpired in?,2
1226,When did Libya establish a diplomatic presence in Prague?,1993
1227,What is the scientific name for the plant that is found in the tropics of Africa and Asia?,Bulbophyllum mesodon
1228,What was the landed aristocrats in the yangban?,landed or unlanded aristocrats
1229,When was the army reformed?,2000
1230,"What was the name of the Norwegian progressive rock band that released the album ""Pitfalls""?",Leprous
1231,What is the name of the first and only live album released by American country artist Sara Evans?,City Winery Nashville
1232,Who was the first winner of the 1985 Masters Tournament?,Bernhard Langer
1233,When did the FCC approve the use of WOTH-CD as a primary broadcast channel for WHDH-TV in Louisiana?,"July 17, 2011"
1234,What did Popović study before becoming a researcher at the Croatian Department of Business?,economics
1235,Who created The Chinese Detective?,Ian Kennedy Martin
1236,"What's the name of the historic diner located in Salem, Massachusetts?",The Salem Diner
1237,How many inhabitants lived in the municipality?,265.968
1238,What region is Northwest Roseau in?,Minnesota
1239,What does the code for Nepal contain?,Open data
1240,What is the main characteristic of the Paisa regional pizza?,the generous amount and variety of food in a traditional bandeja paisa
1241,What is the name of the spy novel first serialized in the Saturday Evening Post?,Mr. Moto
1242,Who made the video game for the PlayStation 3?,Hoplite Research
1243,What was the population of the state of New Mexico in 2010?,641221
1244,What is the name of the private school in Greece offering international education?,American Community Schools of Athens
1245,When was Ryan Michael Montbleau born?,"June 18, 1977"
1246,When was the commune of Saint-Amand-Villages established?,1 January 2017
1247,What is the nom de plume of Saoud Bousselmania?,Maya Arriz Tamza
1248,When did Egyptian engineer Mohamed M. Atalla and Korean engineer Dawon Kahng demonstrate the first MOSFET transistors with 20 μm and 10 μm gate lengths?,1960
1249,What is the name of the executive branch of the Philippines?,President Rodrigo Roa Duterte
1250,What is the name of the comic character that is dressed in a bell-boy cap?,Spirou
1251,When did Richard Ian M. Alexander start his career?,15 September 1981
1252,What is the color of the ground colour of the moths?,cream
1253,Who did the Germans use against the French?,Algerian militia
1254,What language is Peter Wuteh Vakunta native of?,Bamunka-Ndop
1255,What is the name of the largest open-air landfill in Central America?,La Chureca
1256,In what competition did English pick up a record number of wickets?,Gillette Cup
1257,Who starred in The Naked Woman?,Meche Barba and Antonio Aguilar
1258,What was the name of the fourth album released by Eva Cassidy?,Survivor
1259,What organization runs Hickory Hollow Natural Area Preserve?,the Northern Neck Audubon Society
1260,How many smaller counties are in the county?,1270
1261,"What does the name ""Renung""  mean?","the region's Germanic history, culture and architecture"
1262,When was he ordained to the priesthood?,1957
1263,Where did William James Large grow up?,Kent
1264,Who was the head coach of the 1927 Aggies?,Sumner Dole
1265,Who was the driver for the F1 team that was to develop in Mexico City?,Ed Carpenter
1266,What color is the Ruspolia comb?,red
1267,Hyperball is a clone of what 1986 arcade game?,Arkanoid
1268,What is the current name of the city that became the county seat of Washita County?,New Cordell
1269,"What genre of music does Tiffany perform on ""Dust Off and Dance""?",electronica
1270,How is the Eremophila gilesii usually known?,Charleville turkey bush
1271,What year was the American unit of length introduced in Libya?,1927
1272,What is the most common site of involvement of neuropathic pain in the anterior mandible?, The most common site of involvement is the lateral aspect of the lower lip
1273,What gene is involved in the control of pigmentation?,Retinoids
1274,"What is the name of the song that was released on March 8, 2019?",Here with Me
1275,What was suspended due to the COVID-19 Coronavirus outbreak?,Scottish football season
1276,What is the scientific name of the poroid fungus that is found in New Zealand?,Skeletocutis stramentica
1277,What's the name of the location?,St Margaret and St James' Church
1278,Who was the first female to win American Idol?,Atsuya Kanbara
1279,What district is Bridgwater a part of?,Eastleigh
1280,"What is the name of a terrestrial gastropod mollusk, or micromollusk, in the family Assimineidae species in Guam?",Omphalotropis cookei
1281,What was the name of the stadium that the Hoosiers played at?,Memorial Stadium
1282,How many Oscars did he win?,21
1283,Who was believed to be the leader of the United Socialist Movement?,Guy Aldred
1284,What is the population density of the township?,"2,409.2 people per square mile"
1285,When was he ordained to the priesthood?,10 August 1958
1286,In which Tennessee county is the Arp located?,Lauderdale
1287,What was the former commune Saint-Ange-le-Viel merged into?,Villemaréchal
1288,How many teams are in the Torneo Apertura?,16
1289,What was the population of Inkster in 2010?,50
1290,What states are expected to propose cannabis reform legislation for medical marijuana and non-medical adult use?,U.S. states
1291,What is the common name of the grass that is native to the eastern part of North America?,deertongue
1292,For what actions did he receive the Medal of Honor?,bravery
1293,What was the main invention of Walter Benona Sharp?,the oil rig
1294,What is the main food of blue-and-white kingfishers?,seeds
1295,What type of seed does the Rubiaceae have?,arrow-like seed
1296,What was the profession of George Hammell Cook?,state geologist
1297,How many people live in the municipality?,996.049
1298,When was Bally Ache killed?,"October 28, 1960"
1299,What does the slope of a fortified wall acts as?,an effective defensive measure
1300,What is the occupation of Kuniyoshi Sakai?,Associate professor at the University of Tokyo
1301,Who designed the bridge?,Philippe-Louis Boullée
1302,What is the only known local pollinator?,small but faint caterpillar
1303,How many major stage races has Alfonsina Strada ridden?,3
1304,Who is the creator of Charlie's Angels?,Alfred Gough and Miles Millar
1305,What does Sam Sofer specialize in?,biological processes and bioreactor design
1306,What year was William Washington born?,1885
1307,How many members are in the M.I.C.?,5
1308,What was the name of the film that underperformed at the box office?,Unashamed
1309,What was the name of the team that won the 2010 FIFA Club World Cup?,Mali
1310,What brown plant was found in the image at the beginning of Gardeners' Chronicle page?,Iris vartanii
1311,What is the name of the famous pie served in the United States that is a no-bake American pie?,millionaire pie
1312,When was the first performance of Symphony No. 93?,17 February 1792
1313,What was the name of the Big Potato Records label founded by Neil Halstead?,England's Big Potato Records
1314,What was Pop called in America?,"""The King of Pop"""
1315,What did General Sir Edward Stanislaus Bulfin establish during World War I?,"reputation as an excellent commander at the brigade, divisional and corps levels"
1316,How many people lived in Honingham in 2001?,342
1317,What is the color of a Mn(II) salts?,pink
1318,In what geographic portion of the state is the Beamer Trail located?,U.S. state of Arizona
1319,Who wrote the comic book series Captain America?,Stephen Tolkin and Lawrence J. Block
1320,What is the largest East Asian ethnic group in Fresno?,Hmong
1321,What is the term used to describe the type of change that is not always the result of a change in coding?,conservative
1322,Who wrote The Practical Philosophy of Theodor W. Adorno?,Fabian Freyenhagen
1323,What 1897 film was a short silent movie directed by Georges Méliès?,On the Roofs
1324,What was the name of Eloy's project that was a best-of compilation album?,Timeless Passages
1325,When was the CloakNT 3D released?,2011
1326,How long did Robert Hugh Turton serve as Attorney General?,16 years
1327,When will the first barrels of synthetic crude oil be ready for market?,2015
1328,How many years did Raines play in the VFL?,between 1976 and 1982
1329,What is the population of the Charleston County counties?,498776
1330,What has almost always been rejected by the organizations in question?,accusations of antisemitism
1331,When was the electoral district of the Legislative Assembly of the Australian state of New South Wales created?,1927
1332,What is the flatest rectangular rock platform at the southeast margin of Midnight Plateau?,Skilton Ledge
1333,"Who wrote the song ""Kalabhavan Mani""?",Sreejith Paleri
1334,Who is the current Chief of Engineers?,"Robert L. Van Antwerp, Jr."
1335,What can be a list edge-coloring problem?,graph combined with  list of allowed colors for each edge
1336,What are two protons in n-sulfinylaniline?,ortho-positive
1337,The park has a large stream that flows through it and that's name?,Dallington Brook
1338,What was the profession of Harry Hansen?,journalist
1339,The highest point in the city is which elevation?,Tower of Hercules
1340,How many league matches did Felines play during his time with Vallecano?,366
1341,Who designed the 4073 class?,Charles Collett
1342,Where was the 1981–82 Chicago Black Hawks season played?,Madison Square Garden
1343,What's the name of the proprietor of the Bancroft Health Center?,Henry LaFleur
1344,What is the chemical structure of quinoline?,C9H7N
1345,Which Australian poet won a Pleasure Writing competition for Drag Down to Unlock?,Melinda Smith
1346,What is the name of the Roman Catholic diocese of Malindi?,Malindi (Latin: Malindien(sis))
1347,What Supreme Court case resulted in the establishment of a new school system for students of color?,Green v. County School Board of New Kent County
1348,How many authors does the Paul R. Halmos – Lester R. Ford Award have?,at most four
1349,What is the name of the military version of the Sikorsky S-92?,H-92 Superhawk
1350,What is the nickname for parts of the Northern Territory that are not considered part of the State of Western Australia?,North West
1351,What is the name of the technology that uses open-source technologies to share computing resources?,GridWay
1352,What is the average height of the transmitter at Wainwright?,167.0 metres
1353,What lake is synodontis grandiops found in Burundi and Tanzania?,Lake Tanganyika
1354,What was the name of the American fort built at St. John?,Fort Frederick
1355,The Third Bridge is located in what province?,Guangdong Province
1356,What direction is Brunswick East from Melbourne's central business district?,5 kilometres (3.1 miles) north
1357,What is the name of the railway that connects Baramadpur to Ayodhya?,NH 135A
1358,How many offices does the Barakhamba division have?,124
1359,What is the kilometric point of the rail station of Bannalec?,653.987
1360,What is the Dutch word for a rector of a university?,rector
1361,What is the name of the fourth agreement that established a border no longer defined by any of the parties to the original border?,non-border border
1362,What is the highest ranking official in the governorate in Libya?,Governor
1363,What was the name of the American alternative band that formed in North Carolina?,Sugarsmack
1364,What is the main component of the treatment called?,Vagus nerve stimulation (VNS)
1365,When did Alan E. Cober die?,1998
1366,How many people were there in the original census?,91297
1367,What is Margaret Anderson also known as?,Elizabeth
1368,How many League Championships did Glenister win?,2
1369,Who was the 1988 election of Utah?,incumbent United States Vice President George H. W. Bush
1370,What is the rank of the legislature?,120 members
1371,What party was the largest party in the Faroe Islands?,The Union Party
1372,Which country has not yet won any crown?,Ghana
1373,What was the result of the elections?,formed a minority government led by Lord Tuʻivakanō as prime minister
1374,What is the name of the old county courthouse in Sioux Falls?,The Old Minnehaha County Courthouse
1375,What nationality is Khasan Magomedovich Askhabov?,Russian
1376,How many times has the Livingston Argyle played in the top four divisions of the British Basketball League?,73
1377,What is the name of the largest island in the territorial waters of France?,Saint-Domingue
1378,How are Nebraska cities classified?,cities or villages
1379,What animal was discovered to have an extreme nauseous taste?,Sarcodon dissimulans
1380,When was the final report on the incident?,28 September 2012
1381,What is the name of the Almaty school that was founded in 1939?,Haileybury Almaty
1382,When was the first Coal processing plant started in India?,1911
1383,"Who wrote ""Born to Be with You""?",Don Robertson
1384,In what solid state is the alkaline hydrogen peroxide oxidant primarily soluble?,in the aqueous phase
1385,What was the Ground Crew Project originally founded by?,Sheldon Nidle
1386,What is the stem like?,green
1387,What position did Bernard P. Zeigler hold at the University of Arizona?,emeritus professor
1388,When was 'Uncorked' released?,"March 27, 2020"
1389,When was the Budgam district created?,1979
1390,Who edited the first volume of the Indian Antiquary?,James Burgess
1391,What is the only remaining building from the colonial era in New London?,Mead's Tavern
1392,What is the most northerly of the mammal families?,Archaeohyrax
1393,What was the name of the infotomecom company that was founded in 1992?,InfoCom Corporation
1394,What is the largest desalination plant in India?,Wonthaggi desalination plant
1395,What is the value-based payment model?,"payment model that offers financial incentives to physicians, hospitals, medical groups, and other healthcare providers for meeting certain performance measures"
1396,Who is the current director of UCHRI?,David Theo Goldberg
1397,What countries is the synodontis geledensis found in?,"Ethiopia, Kenya and Somalia"
1398,What date was the film released in North Korea?,"December 21, 2017"
1399,Which University did Edward Albert Barry play for?,Oxford University
1400,What was the 2009 ARAG World Team Cup?,tennis tournament play on outdoor clay courts
1401,What can be used to describe the shape of a three dimensional solid?,equidimensional schemes
1402,When is the surface of the Apica river frozen?,late November to early April
1403,Where is Thief Lake located?,"Marshall County, in the U.S. state of Minnesota"
1404,Who was the seed player chosen by the Waves to play in the first round of the main season?,Jaworski
1405,Who designed the building that represents a combination of the Chicago and Prairie schools of architecture?,Dwight H. Perkins
1406,What is the home field of Redhill F.C.?,Home Park
1407,What was the name of the second mixtape produced by DioGuardi and Danny Brown?,God Proclaimed
1408,"When was 'Greatest Hits, Vol. 1' released?",1992
1409,When did Memo Acevedo start?,1988
1410,When did the Ghalanai Dam project go through construction?,December 2019
1411,What bridge was built in 2005 to replace the earlier bridge that was destroyed by fire?,The Amtrak Susquehanna River Bridge
1412,Which Dominican actor is best known for his role as Eric?,Dwain Murphy
1413,"What is the name of the tower mill in Copton, Faversham?",Copton Mill
1414,Who is the father of Ben Platt?,Marc Platt
1415,"Along with the invention of the cotton gin, what invention helped improve the quality of cotton?",E. I. du Pont
1416,How many medals has Ignisious Gaisah won?,110
1417,What agreement divided the nations of Bosnia and Herzegovina?,the 1995 Dayton Agreement
1418,What was the national anthem of Australia during 1974?,Openness and Democracy
1419,For what act did Elliott receive his Medal of Honor?,"combat at Natchitoches, Louisiana"
1420,Where is the neamts of Horia located?,Romania
1421,"What does the Latin word ""Crotalocephalides"" mean?",track worm
1422,"How many people voted in favor of the ""Decree on the Ministry and Life of Priests""?","2,390 to 4"
1423,Who won the 2011 National Games?,India
1424,What year did Jessica Mauboy release her second single?,2017
1425,How many premierships did Mitchell win with the Footscray club?,2
1426,"In order to be classified as a seafood, what must you have done that would qualify it?",have a firm and chewy texture and consistency
1427,When was the IASA founded?,1893
1428,What former American football player and coach is currently the head football coach at Colgate University?,Richard L. Biddle
1429,How many species does the Pyralidae family have?,2
1430,What is structural approach to the study of a language called?,thorough study of a language
1431,Who were the leaders of the Holy Roman Empire in the 15th century?,state leaders
1432,How many segments does the Bienosaurus dog have?,6
1433,What is the name of the modern Japanese orthography?,Hyōgaiji
1434,Who is the net wealthiest individual in Australia?,Gina Rinehart
1435,Where will the 2011 ITF Roller Open take place?,"Pétange, Luxembourg"
1436,What was the name of the architect that designed The Locke School?,Gay & Proctor
1437,What is a common snake found in parks and gardens?,Barking doves
1438,Who composed the ninth Hungarian Rhapsody?,Franz Liszt
1439,How many legislative assemblies are part of the Samvatriya?,7
1440,What did the Namibian swimming team win at the 2012 Summer Olympics?,bronze
1441,What does the green background on the bottom of the bottom of the golf club graph show?,the player did not retain his PGA Tour card for 1996
1442,What was the Future Electronics firms founded by Robert Miller?,Future Electronics
1443,Who is the Namibian president?,Hage Geingob
1444,Who is the only non-congressional President since Reconstruction?,George W. Bush
1445,What was the name of the arena that was located in Denver?,McNichols Sports Arena
1446,What is the name of Clanton's second solo album?,Slide
